date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:24	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-3289193e364598e5;gz%22	https://appspy.pro/robots.txt		(from )
11:46:24	50781/50781	---M-Z	200	added ('OK')	text/html	etag:%22c65d-67784ba9-ab1c5e8c71a779f8;gz%22	https://appspy.pro/app/new-59-bb/	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/index.html	(from )
11:46:24	5756/5756	---M-Z	200	added ('OK')	text/css	etag:%22167c-67783d70-a0360e63035cf59d;gz%22	https://appspy.pro/app/new-59-bb/assets/style.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/style.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:24	5131/5131	---M-Z	200	added ('OK')	text/css	etag:%22140b-67783d70-af3314e19f11365f;gz%22	https://appspy.pro/app/new-59-bb/assets/theme.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/theme.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:25	7325/7325	---M-Z	200	added ('OK')	text/css	etag:%221c9d-67783d71-b8f2830182cb1bb1;gz%22	https://appspy.pro/app/new-59-bb/assets/header-footer.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/header-footer.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:25	118630/118630	---M-Z	200	added ('OK')	text/css	etag:%221cf66-67783d70-5179377d676ef01f;gz%22	https://appspy.pro/app/new-59-bb/assets/frontend-lite.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/frontend-lite.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:25	1230/1230	---M-Z	200	added ('OK')	text/css	etag:%224ce-67783d71-656bc64925f0b808;gz%22	https://appspy.pro/app/new-59-bb/assets/post-6.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/post-6.css	(from https://appspy.pro/app/new-59-bb/)
11:46:25	3443/3443	---M-Z	200	added ('OK')	text/css	etag:%22d73-67783d70-3b8de79dfffd7578;gz%22	https://appspy.pro/app/new-59-bb/assets/general.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/general.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:25	12171/12171	---M-Z	200	added ('OK')	text/css	etag:%222f8b-67783d71-cce1d08bd61b7493;gz%22	https://appspy.pro/app/new-59-bb/assets/eael-92.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/eael-92.css	(from https://appspy.pro/app/new-59-bb/)
11:46:26	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-67783d71-805e6a9a000f70fb;gz%22	https://appspy.pro/app/new-59-bb/assets/swiper.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/swiper.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:26	59118/59118	---M-Z	200	added ('OK')	text/css	etag:%22e6ee-67783d70-395b57f4cfac4051;gz%22	https://appspy.pro/app/new-59-bb/assets/all.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/all.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:26	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-67783d70-86ce2bff24191131;gz%22	https://appspy.pro/app/new-59-bb/assets/v4-shims.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/v4-shims.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:26	86380/86380	---M-Z	200	added ('OK')	text/css	etag:%221516c-67783d70-705adabc4a296e96;gz%22	https://appspy.pro/app/new-59-bb/assets/global.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/global.css	(from https://appspy.pro/app/new-59-bb/)
11:46:27	17350/17350	---M-Z	200	added ('OK')	text/css	etag:%2243c6-67783d71-eeec08411e6114ee;gz%22	https://appspy.pro/app/new-59-bb/assets/post-92.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/post-92.css	(from https://appspy.pro/app/new-59-bb/)
11:46:27	30844/30844	---M-Z	200	added ('OK')	text/css	etag:%22787c-67783d71-2b1121932bcbea5a;gz%22	https://appspy.pro/app/new-59-bb/assets/font-awesome.min.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/font-awesome.min.css	(from https://appspy.pro/app/new-59-bb/)
11:46:27	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/Meus%20Sites/Clonar%20Whats/code.jquery.com/jquery-3.7.1.min.js	(from https://appspy.pro/app/new-59-bb/)
11:46:27	15055/15055	---M-Z	200	added ('OK')	application/x-javascript	etag:%223acf-67783d71-a6a89dccb42bb643;gz%22	https://appspy.pro/app/new-59-bb/assets/v4-shims.min.js	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/v4-shims.min.js	(from https://appspy.pro/app/new-59-bb/)
11:46:28	163262/163262	---M--	200	added ('OK')	image/webp	etag:%2227dbe-67783d70-98c8ee0384e7c43d;;;%22	https://appspy.pro/app/new-59-bb/assets/img-1.webp	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/img-1.webp	(from https://appspy.pro/app/new-59-bb/)
11:46:28	67800/67800	---M--	200	added ('OK')	image/webp	etag:%22108d8-67783d71-987e452df6765aa9;;;%22	https://appspy.pro/app/new-59-bb/assets/img2.webp	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/img2.webp	(from https://appspy.pro/app/new-59-bb/)
11:46:28	10076/10076	---M--	200	added ('OK')	image/webp	etag:%22275c-67783d71-985c70d96fdb9c8c;;;%22	https://appspy.pro/app/new-59-bb/assets/ssl-secure-3.webp	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/ssl-secure-3.webp	(from https://appspy.pro/app/new-59-bb/)
11:46:29	2937/2937	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b79-67783d70-4dbb838804b93ba8;gz%22	https://appspy.pro/app/new-59-bb/assets/hello-frontend.min.js	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/hello-frontend.min.js	(from https://appspy.pro/app/new-59-bb/)
11:46:29	60173/60173	---M-Z	200	added ('OK')	application/x-javascript	etag:%22eb0d-67783d71-680c3395f5be3f99;gz%22	https://appspy.pro/app/new-59-bb/assets/frontend-modules.min.js	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/frontend-modules.min.js	(from https://appspy.pro/app/new-59-bb/)
11:46:29	3636/3636	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e34-67783d70-e00650060d5fa380;gz%22	https://appspy.pro/app/new-59-bb/assets/frontend.min.js	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/frontend.min.js	(from https://appspy.pro/app/new-59-bb/)
11:46:29	29635/29635	---M-Z	200	added ('OK')	application/x-javascript	etag:%2273c3-67783d71-68f73a1ff599b53;gz%22	https://appspy.pro/app/new-59-bb/assets/elements-handlers.min.js	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/elements-handlers.min.js	(from https://appspy.pro/app/new-59-bb/)
11:46:30	6925/6925	---M-Z	200	added ('OK')	text/html	etag:%221b0d-67794f5a-6d0f99b9a54f182a;gz%22	https://appspy.pro/app/new-59-bb/analise-pausada.html	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/analise-pausada.html	(from https://appspy.pro/app/new-59-bb/)
11:46:30	33963/33963	---MCZ	200	added ('OK')	text/javascript	etag:W/%2268be9ee67f3ec5fde0c77eecd73fcfec%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Meus%20Sites/Clonar%20Whats/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://appspy.pro/app/new-59-bb/)
11:46:30	78196/78196	---M--	200	added ('OK')	application/font-woff	etag:%2213174-67783d73-20839e88433868f8;;;%22	https://appspy.pro/app/new-59-bb/assets/webfonts/fa-solid-900.woff	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/webfonts/fa-solid-900.woff	(from https://appspy.pro/app/new-59-bb/assets/all.min.css)
11:46:31	202744/202744	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22317f8-67783d73-1bea2ce9c1fa85c6;gz%22	https://appspy.pro/app/new-59-bb/assets/webfonts/fa-solid-900.ttf	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/webfonts/fa-solid-900.ttf	(from https://appspy.pro/app/new-59-bb/assets/all.min.css)
11:46:31	49896/49896	---M--	200	added ('OK')	image/webp	etag:%22c2e8-67783d70-cbc63fece397cb5e;;;%22	https://appspy.pro/app/new-59-bb/assets/bg.webp	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/bg.webp	(from https://appspy.pro/app/new-59-bb/assets/post-92.css)
11:46:32	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-3289193e364598e5;gz%22	https://appspy.pro/app/new-59-bb/Trident/	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/Trident/index.html	(from https://appspy.pro/app/new-59-bb/assets/v4-shims.min.js)
11:46:32	11128/11128	---M--	200	added ('OK')	image/webp	etag:%222b78-67783d70-eec6b707173dbce9;;;%22	https://appspy.pro/app/new-59-bb/assets/back-passo1.webp	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/back-passo1.webp	(from https://appspy.pro/app/new-59-bb/analise-pausada.html)
11:46:32	41670/41670	---M-Z	200	added ('OK')	text/html	etag:%22a2c6-685d8e4f-798aaa08c2d31f6e;gz%22	https://appspy.pro/app/new-59-bb/etapa-2.html	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/etapa-2.html	(from https://appspy.pro/app/new-59-bb/analise-pausada.html)
11:46:32	17626/17626	---M-Z	200	added ('OK')	text/css	etag:%2244da-67783d70-46f804f41fcbfa2d;gz%22	https://appspy.pro/app/new-59-bb/assets/eael-135.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/eael-135.css	(from https://appspy.pro/app/new-59-bb/etapa-2.html)
11:46:33	19416/19416	---M-Z	200	added ('OK')	text/css	etag:%224bd8-67783d71-437b14085967cc35;gz%22	https://appspy.pro/app/new-59-bb/assets/post-135.css	C:/Meus%20Sites/Clonar%20Whats/appspy.pro/app/new-59-bb/assets/post-135.css	(from https://appspy.pro/app/new-59-bb/etapa-2.html)
